Teams,Lines,Odds
Colorado Avalanche,-1.5,120
New Jersey Devils,1.5,-140
Florida Panthers,-1.5,195
Pittsburgh Penguins,1.5,-245
Vegas Golden Knights,-1.5,145
Philadelphia Flyers,1.5,-176
Arizona Coyotes,1.5,-176
Detroit Red Wings,-1.5,145
Seattle Kraken,1.5,-110
Toronto Maple Leafs,-1.5,-110
Ottawa Senators,1.5,-110
St. Louis Blues,-1.5,-110
New York Rangers,1.5,-180
Minnesota Wild,-1.5,150
Dallas Stars,1.5,-236
Nashville Predators,-1.5,190
Tampa Bay Lightning,-1.5,145
Winnipeg Jets,1.5,-176
Anaheim Ducks,1.5,-245
Chicago Blackhawks,-1.5,195
Washington Capitals,1.5,-221
Calgary Flames,-1.5,180
